state,birth_rate_2000,birth_rate_2023,decline,pct_decline
Perak,23.23,12.1,11.13,47.9
Johor,24.32,13.67,10.65,43.8
Kelantan,29.68,19.2,10.48,35.3
Melaka,23.67,13.21,10.46,44.2
W.P. Kuala Lumpur,20.75,10.69,10.06,48.5
Sarawak,23.13,13.56,9.57,41.4
Pulau Pinang,20.51,11.05,9.46,46.1
Selangor,21.88,12.56,9.32,42.6
Perlis,22.4,13.23,9.17,40.9
Kedah,24.53,15.44,9.09,37.1
Negeri Sembilan,22.22,13.53,8.69,39.1
Pahang,22.81,14.7,8.11,35.6
Sabah,18.94,12.9,6.04,31.9
Terengganu,27.51,21.59,5.92,21.5
W.P. Labuan,19.65,14.23,5.42,27.6
